"","feature.name","w","rk","z","pval","fdr"
"Ckmt1",32,-0.000619482413448797,3409.3,-0.795619283733717,0.44144085110099,0.999843667608648
"Bcl6b",33,0.000732373191887391,2429.9,0.972646159706215,0.342426051940747,0.999843667608648
"Arvcf",34,-0.000235463562860002,6476.6,-0.291810962757591,0.754355418807073,0.999843667608648
"Comt",35,4.62340226737514e-05,6994.9,0.0749159294073578,0.804166901415407,0.999843667608648
"Rtca",36,-0.000835081789983572,2239.2,-1.07829955174557,0.301840701737327,0.999843667608648
"Dbt",37,0.000865750520718323,1770,1.14751692868515,0.261271620403705,0.999843667608648
"Dazap2",38,0.000824089510823721,2152.1,1.09415734460854,0.299883655423371,0.999843667608648
"Mcts1",39,2.41177453626073e-05,7204.1,0.0459285172181541,0.822756675903453,0.999843667608648
"Rnf17",40,0.000199859208468842,6044.8,0.276247563140447,0.711692435090258,0.999843667608648
"Trappc10",41,0.000912410672438375,1554.2,1.20918393519213,0.233311164161798,0.999843667608648
"Ccm2",42,0.000692678673508032,2965.1,0.920975492440206,0.39179090900605,0.999843667608648
"Tbrg4",43,0.000397532484146237,4864.4,0.534900934619995,0.600874893611785,0.999843667608648
"Ndufa9",44,-0.000150291502307812,6551.7,-0.181268290855927,0.758464555139564,0.999843667608648
"Lck",45,-0.000695411469755948,3192,-0.893546075965381,0.406493501626613,0.999843667608648
"Cttnbp2",46,-0.000418154192000884,4871.8,-0.532175126386424,0.602636727253801,0.999843667608648
"Galnt1",47,0.000500544799605974,4066.2,0.670394389943311,0.518591003584637,0.999843667608648
"Mkrn2",48,-0.000232308283739065,5448.5,-0.289210757871576,0.653595053277793,0.999843667608648
"Raf1",49,0.00117246637495839,873.7,1.54832247158653,0.130612095139445,0.999843667608648
"Sept1",50,0.000272397143398042,4951.5,0.372295398676643,0.611654855347539,0.999843667608648
"Pdgfb",51,-0.000289684579835142,5515,-0.364141489375389,0.664144103664558,0.999843667608648
"Grasp",52,0.00085109243223082,1844,1.12903349554609,0.270868578818533,0.999843667608648
"Acvr1b",53,-1.16528185383757e-05,6701.8,-0.000333543631238477,0.775305834139091,0.999843667608648
"Tom1l2",54,0.000192083014225441,6851.5,0.26599885820167,0.786070782686142,0.999843667608648
