cellnames,dataset,tSNE_1,tSNE_2,KNNpred,SVMpred,IDconsensus,Tom_cells
F1S4_160108_012_A01,T18,-28.51638681,20.06050811,non appliable,non appliable,Vip Ptprt Pkp2,non appliable
F1S4_160108_012_F01,T18,-10.06433962,24.26062245,non appliable,non appliable,Vip Igfbp4 Mab21l1,non appliable
F1S4_160108_012_G01,T18,8.504665864,-45.11541396,non appliable,non appliable,Lamp5 Lsp1,non appliable
F1S4_160108_013_E01,T18,-2.402505978,-32.36279748,non appliable,non appliable,Lamp5 Lsp1,non appliable
F1S4_160108_013_G01,T18,-9.790364997,-46.9564384,non appliable,non appliable,Lamp5 Lsp1,non appliable
F1S4_160108_013_H01,T18,17.61520952,6.997579839,non appliable,non appliable,Sncg Gpr50,non appliable
F1S4_160108_014_F01,T18,-14.40210112,29.20373671,non appliable,non appliable,Vip Arhgap36 Hmcn1,non appliable
F1S4_170426_009_B01,T18,-29.21058063,-29.0737722,non appliable,non appliable,Vip Crispld2 Kcne4,non appliable
F1S4_170426_009_C01,T18,26.71919217,-33.48671273,non appliable,non appliable,Lamp5 Lsp1,non appliable
F1S4_170426_009_D01,T18,-18.78115973,-15.04018709,non appliable,non appliable,Vip Crispld2 Htr2c,non appliable
F1S4_170426_009_F01,T18,-10.59000751,1.336275941,non appliable,non appliable,Vip Chat Htr1f,non appliable
F1S4_170426_010_E01,T18,2.348867881,13.74809894,non appliable,non appliable,Vip Pygm C1ql1,non appliable
F1S4_170426_010_F01,T18,16.1851481,-39.82645976,non appliable,non appliable,Lamp5 Lsp1,non appliable
F1S4_170426_010_H01,T18,19.45496631,-35.61580954,non appliable,non appliable,Lamp5 Lsp1,non appliable
F1S4_170426_011_A01,T18,-2.659938747,3.389212421,non appliable,non appliable,Vip Chat Htr1f,non appliable
F1S4_170426_011_C01,T18,10.25534948,-29.15649827,non appliable,non appliable,Lamp5 Lsp1,non appliable
F1S4_170426_011_D01,T18,-9.717485607,-1.28683535,non appliable,non appliable,Vip Chat Htr1f,non appliable
F1S4_170426_011_E01,T18,-43.61676492,-1.427900483,non appliable,non appliable,Vip Lect1 Oxtr,non appliable
F1S4_170426_011_F01,T18,6.303568618,-28.98400688,non appliable,non appliable,Lamp5 Lsp1,non appliable
F1S4_170426_011_G01,T18,-38.43132375,-8.345144472,non appliable,non appliable,Vip Lect1 Oxtr,non appliable
F1S4_170426_011_H01,T18,46.06484628,-24.66418988,non appliable,non appliable,Lamp5 Plch2 Dock5,non appliable
F1S4_170426_012_F01,T18,19.46181022,-33.16196451,non appliable,non appliable,Lamp5 Lsp1,non appliable
