"","feature.name","w","rk","z","pval","fdr"
"Kcnq3",10669,0.00322517808051667,37.6,3.61217184611328,0.000759215853792659,0.128780200169247
"Il34",6060,-0.00331962117716672,37.9,-3.43734726487431,0.000714461089633736,0.14716330421157
"Rora",6280,-0.0036238871940807,39.1,-3.76857455616232,0.00146415927956192,0.153746618132181
"Elmo1",8604,-0.00335315870990969,39.1,-3.47338241761661,0.000956054251160797,0.156974124812953
"Grin2a",10948,-0.00334426262079401,40.4,-3.46597199255327,0.00096929560942208,0.156755949739321
"Dusp26",8241,0.00330675515524318,40.6,3.69742649574505,0.00117327135812083,0.15624864446049
"Sfrp1",5976,-0.00329603933657821,40.7,-3.4118439509303,0.000828345273145389,0.159429334240141
"Lrp8",4861,-0.00332287873518841,41.5,-3.44048372510279,0.000977434733760839,0.167032719608044
"Tnnt1",11488,-0.00331860749570454,42.3,-3.43732007691267,0.00104824466877435,0.174008463060311
"Cetn3",2285,0.00304065534343779,42.6,3.4148279616176,0.000860730822793098,0.161968630791249
"Timp3",1622,0.00311747087023169,42.8,3.49723268287556,0.00122360476179953,0.167734844261761
"Gda",10915,-0.00328493781502952,44.5,-3.39815396660139,0.00127345606834315,0.187623512879058
"Gucy1b3",4596,0.00311048123271729,45,3.4898921739064,0.001481909264295,0.190976051176778
"Kidins220",7341,-0.00324074921513917,45.4,-3.35456047683736,0.0011776736931428,0.190218836309297
"Cck",6428,-0.00320243799197715,47.4,-3.3120365754332,0.00133489020010763,0.208061921303424
"Ptprd",4763,-0.00317946659341859,49.6,-3.28795119598125,0.00157425961206894,0.223818773377736
"Vcan",2319,0.00291031821010608,50.2,3.27384103778141,0.00153192360499368,0.233050568292385
"Camk2n1",9479,0.00313237528845292,50.9,3.5106685867196,0.0025680992105105,0.200579149395549
"Vwc2",10049,-0.00310547540022334,53.6,-3.20713490393798,0.00167673519825903,0.245064351974583
"Il20ra",1606,-0.00307374508767567,54.1,-3.17248277811558,0.00169269717361942,0.257288967847439
"Ntm",11052,0.00299561279972093,54.4,3.36536929829412,0.00237128388966489,0.252647902069325
"Fmo1",8384,-0.00318270178083374,55.2,-3.28911594260484,0.00207352178154963,0.253121929766439
"Sparcl1",5187,-0.0030775821276031,56.4,-3.17672250473471,0.00192060699885281,0.262736669752832
"Slc35d3",10006,-0.00310924042206525,56.4,-3.20962649363234,0.00200345252762165,0.25756304752154
"Celsr3",2992,-0.00308035455048658,56.7,-3.17984004007467,0.00195622716155167,0.267538276872473
"Unc5d",11422,-0.00311951525443752,57.7,-3.22199608372405,0.00216305916021308,0.262929369456178
"Cd200",2767,0.00285331218555537,59.3,3.21259469848735,0.00279060397462798,0.280413834412135
"Acadl",3820,0.0029637484849189,60.4,3.33406819533624,0.0031487965297925,0.255575619221052
"Lrrc8b",11865,-0.00311705375768027,62,-3.22206322985122,0.00297446299190291,0.302945267509183
"Ramp1",6882,0.00280644762419691,62.6,3.15900895859255,0.00248354406357994,0.282854153235547
"Sema6a",1499,0.00274159800124389,63,3.08960592576427,0.00290506343863575,0.327246731678181
"Rasgrf2",2358,-0.00315474056046022,63.4,-3.26104836082424,0.00308615330107813,0.281523200328202
"Popdc3",1551,-0.00301701229024252,63.5,-3.11085999980942,0.00264602955971747,0.311861305887632
"Enpp2",2662,-0.00303863264221374,63.7,-3.13508371744376,0.00271648792572524,0.302121414131996
"Fstl5",6799,0.00296434235449848,64.8,3.32666702616627,0.00431468045920921,0.280476356126991
"Epha4",3918,0.00274065718662761,65.1,3.08731184070145,0.00284418651590732,0.331978725033891
"Cemip",10228,-0.00302204520586249,65.4,-3.11664830026,0.00264107679844687,0.304685928320788
"Mpped2",1217,-0.00296594790433042,68.1,-3.05605145153403,0.00287414492043048,0.329616053527328
"Maf",10569,-0.00305549643457636,68.8,-3.15557671553795,0.00345142761675029,0.325387467042146
"Erbb4",11278,0.0028209815178206,69.6,3.17501306688574,0.00425303652191381,0.344636349279267
"Sema3c",4939,0.00271313693988003,70,3.06087167143568,0.00354307339526661,0.333712303981699
"Prom1",5088,0.00267825825568295,71.2,3.02347541686372,0.0035870943905996,0.365507468407599
"Map2k1",561,-0.00300690702708878,72.2,-3.09680342666929,0.0036852989714745,0.341015259219198
"Tdrd3",2490,0.00269056603767069,72.5,3.03508621318147,0.00383255275343859,0.354386914986313
"Cntn5",8197,0.00277460997337947,72.5,3.12684629196873,0.0042948046414966,0.324673018770206
"Cdh10",2609,0.0026908633776738,72.7,3.03380361697898,0.00398697827348906,0.388935692606631
"Cntn6",5464,0.00270245084796375,72.8,3.05076624827694,0.0043255875757761,0.359471864807616
"Galnt14",3086,0.00266857057981724,72.9,3.01410829930689,0.00391951066473817,0.373782482661187
"Grin2b",5500,-0.00293378412519436,72.9,-3.02303290945676,0.00331804317161034,0.356144933878314
"Abcd2",10615,-0.00294399589257434,72.9,-3.03391582503342,0.003433955229593,0.35649550888501
"Syt1",7230,0.00268394946785745,73,3.03157675791424,0.00420414111412201,0.361649825669896
"Ildr2",8492,0.00265493126079755,74.2,2.99795872189237,0.0041676117041783,0.382531662665664
"Smad3",6366,-0.00291881561779183,74.4,-3.00521714046289,0.00348274325005189,0.368005618669608
"Pgf",545,-0.00288339942905983,75.6,-2.96820021577403,0.00342418705452711,0.377794670922735
"Nppc",3922,-0.00288916286268705,75.6,-2.97479498049094,0.00318533632077921,0.365641249111644
"Xrcc5",3896,-0.00289074055718435,77,-2.9746832408462,0.00384386785969094,0.380186253304636
"Sp8",9771,-0.0028753328950393,78.5,-2.9593059682847,0.00370130366876931,0.389032223661464
"Tmem163",15679,-0.00286504064358885,78.7,-2.94802680939334,0.00387637074652784,0.395517993371081
"Parm1",7031,0.00258188113363547,81,2.91876867258371,0.00474430759266655,0.435643463550122
"Plxna4",5377,-0.00292223616674937,81.1,-3.01055573495539,0.00448216008877357,0.397150770915381
"Prkar2b",354,0.00262778934484353,81.9,2.96956493358804,0.0050711174992633,0.409669600411766
"Pcdh9",10567,0.00265913452560915,83,3.00187415988865,0.00580170611129838,0.401286415344051
"Cpne4",6444,-0.0028711178118355,83.7,-2.95489479498459,0.00455882520472384,0.422503803922973
"Zmiz1",804,0.0026071900747199,83.9,2.94481752641863,0.00539190506590299,0.41982267324978
"Nr2e1",1530,0.00256512485273554,88.7,2.90039996953746,0.00588630026778303,0.451410358689224
"Tmeff2",3864,-0.00288727509369998,88.8,-2.97314033280249,0.00563435233576294,0.411866480030052
"Rit2",10800,0.00251636327323378,92,2.84712923602451,0.00672493270712784,0.490883704857229
"Plch2",5075,-0.00291350436117913,92.2,-2.99966194260375,0.00631491026258306,0.368321725678551
"Tank",11502,-0.0028019554065471,92.2,-2.87941565131062,0.0053475152840532,0.454391593649944
"Dhrs3",16073,-0.00276384481010261,93.5,-2.83911252650153,0.0052886173559222,0.471180650637732
"Tshz1",9550,0.00247750964587076,95.1,2.80726926699457,0.00649419687394234,0.499789946517321
"Unc80",10586,0.00273253177010555,95.1,3.0793659709197,0.00750446951957693,0.350949753940042
"Nap1l5",10568,0.00257002016937797,95.3,2.90808215262718,0.0071434925263821,0.466603046433518
"Nrxn1",3112,0.00271510066133667,95.9,3.06107663603825,0.00810841267020795,0.369451708206665
"Ptpra",4322,-0.00280444900923896,96.4,-2.88294472056395,0.00688381157454728,0.481850234679939
"Fen1",3348,-0.00274597115573499,96.6,-2.81816105771985,0.00562516722318173,0.489088885502681
"Cdca7",10588,-0.00276994016653848,96.9,-2.84526029601255,0.00577784918028614,0.484790458038854
"Gabra5",10535,-0.00275690377109219,99.3,-2.83063193821413,0.00627453255982571,0.487514448046539
"Actr1b",7594,-0.00284615114858883,101.1,-2.92778061405786,0.00688562503299248,0.459821358192917
"Hist1h2be",9590,-0.00280609443953666,101.5,-2.88479463360744,0.0068562635957498,0.502944676837604
"Cdh9",3605,0.0029329077644509,105.4,3.30140499459258,0.0105226368604264,0.285799196788806
"Ccnd2",18,0.00250575899524188,108.5,2.83604868720928,0.00937452847791674,0.525740760147942
"Pdlim5",4713,0.00272317979822391,110.1,3.07124902556908,0.0100586797203584,0.331004003019286
"Lsp1",1421,-0.00273190536242111,110.2,-2.80536157185427,0.00784516125288601,0.549953567971172
"Hip1",8327,0.00240389602352136,110.3,2.72781965382815,0.00941435170099483,0.577381905998649
"Ttn",10177,-0.00266269986450112,110.8,-2.72831421093732,0.0076385312036207,0.575091701557187
"Sgk1",1592,0.00254847384546683,111,2.88013346458741,0.00965666612032525,0.472913447476232
"Rims1",8719,-0.00271677825549548,113.5,-2.78966989244682,0.0080542515578995,0.54239362858014
"Dhrs7",2110,-0.00269574963650695,114.8,-2.76624885878526,0.00855882803905601,0.581339553484382
"Marcks",11796,-0.00263042500221119,115.3,-2.69580430098933,0.00758372212694145,0.582934778195047
"Htr3a",6296,0.00263388998257097,115.7,2.97329506725409,0.0105015332479707,0.406552931874987
"Ifitm7",17199,-0.00263548874559397,117,-2.70088848397835,0.00815663115056761,0.579084426188726
"Spats2l",7865,0.00262501098824845,117.2,2.96679953039701,0.01035408311259,0.425338027253115
"Angptl6",8000,-0.0026639377070037,118,-2.73223827792935,0.00802419736669014,0.561432217319195
"Hist1h2bc",1335,-0.00259901779901942,118.5,-2.66177939495894,0.00836049924831605,0.616756219167901
"Gabrd",5074,-0.00263022771274116,119.7,-2.69636326402998,0.00871216005008036,0.598583812268463
"Ntn1",2030,0.0026548195704332,119.8,3.00207293280648,0.0109365592951839,0.384964435602565
"Pcp4l1",7884,0.0023425291322512,120.9,2.66246410382144,0.0105904496863063,0.61265786636237
"Snx22",8184,-0.00260655405061451,121.1,-2.66974796171244,0.00860699026363227,0.608087855140748
"Pebp1",6546,-0.00269523370814312,121.5,-2.76527953040645,0.00976755879948546,0.546113355753029
"Slc22a17",2557,-0.00269337450926586,122.6,-2.76388285806658,0.00934731733859483,0.548133440986062
"Man1a2",858,-0.00279974247898672,123.9,-2.87572843824627,0.00978112610738841,0.494130399466234
"Teddm3",13368,0.00235232322562523,124.4,2.67242856767762,0.010811901098296,0.605006770278012
"Pthlh",9796,0.00252062096531215,124.5,2.85149451605837,0.0111979304185871,0.470796094968427
"Dab1",4818,0.00230694502876598,124.7,2.62394683700409,0.010898096635411,0.646124523726476
"Olfm3",4581,0.00247229386469932,124.9,2.80051041326615,0.0117666358319713,0.499127015911065
"Pbx1",10255,-0.00274157117240501,125.2,-2.81609897930603,0.00986085933767819,0.507216716174302
"Hapln4",787,-0.00261985407700003,127.1,-2.68524494636841,0.00954014022079437,0.616517601799674
"Strip2",8229,-0.00254603761382757,129.6,-2.60407887807636,0.00940943718341799,0.662082781124811
"Dpp10",7446,0.00237400974682437,129.7,2.69535067406402,0.0118960168223478,0.585079908219171
"Pcdh15",10269,-0.00256217377644572,130.2,-2.62134452966811,0.0101050338793468,0.661230577205092
"Rasl10b",1929,0.00248998258078614,130.8,2.82154229337651,0.012604412499143,0.508969110423313
"Sept5",11996,-0.00263698619644198,131,-2.70317994726923,0.0106688657350859,0.577044557848111
"Kcnc2",7194,0.00248626917374382,132,2.81457442600528,0.0125682840682811,0.505628393420556
"Taf4b",10450,-0.00253774391160261,132.9,-2.59551280414308,0.00988034136334333,0.671823709804687
"Cnn3",10412,-0.0026567847222988,134,-2.72250350362662,0.0113998184867785,0.5599401228219
"Sepw1",16279,-0.00255965753002169,134.3,-2.62005115246688,0.0104055527941609,0.649629129732715
"Nell2",2680,0.00247394388850605,134.6,2.80089263587523,0.0135690639106494,0.507071052827853
"Samd5",11108,0.00228961322949522,135,2.60339459182461,0.0125155980168276,0.647651756251898
"Boll",15655,0.00243610853014166,136.8,2.76118850309796,0.0138004638509322,0.549874169022741
"Spout1",8240,-0.0025713330561572,137.9,-2.62905179675667,0.0116116101346194,0.656994760948275
"Slc8a1",10486,-0.00255813717629729,138.6,-2.61689582832534,0.0115060977104714,0.66014135391478
"Mlip",6343,-0.0025247104415026,144.8,-2.58161766883068,0.0121050425147283,0.683467742214139
"Ccdc109b",15966,-0.00251399248834009,145.2,-2.56989992251246,0.0115965544776889,0.680179597969643
"Atp8a1",7677,-0.00263273256246677,145.7,-2.6981730945352,0.0128020529366101,0.589658097481174
"Robo2",10252,0.00225476900114639,145.7,2.56797812057781,0.0144377319248265,0.694232836454564
"Isca1",9255,-0.00255767692520486,147.6,-2.61546976677497,0.0121686163198211,0.628185999214414
"Ntrk2",10551,-0.00267912293188609,147.7,-2.74723582397481,0.0135022328413239,0.560657089024523
"Rassf3",3743,-0.00257021834860763,149.3,-2.63016393909794,0.0131015573701475,0.625824812117827
"Arhgap24",10782,0.00243759979123318,150.7,2.76288037162563,0.0152426681412463,0.530231430044744
"Ism1",12219,-0.00252390513656964,150.7,-2.57918458793609,0.0131489957557964,0.672969307509754
"Psat1",3320,-0.00259355636053814,151.2,-2.65507137558658,0.01384912971452,0.63678066480961
"Nav3",1693,-0.00264477875819503,151.5,-2.71164515547917,0.0136905869345645,0.605594670534933
"Ptchd4",8849,-0.0026548564909141,152.1,-2.72258997888997,0.0140541428580276,0.607112938729972
"Dlc1",5961,0.00237242570787933,155.6,2.69388968673295,0.016277133756606,0.63324355151468
"Adrb1",7108,0.00230217289635229,155.8,2.62126695102684,0.0159369059993809,0.623472265722352
"Abcd4",2170,-0.00248508140499816,163.9,-2.53961805639065,0.0142791155556116,0.709283561391745
"Thrsp",7195,-0.00244278307874479,165.2,-2.49316892542765,0.014440880236256,0.749992830085866
"Tango2",1011,-0.00258469679795613,165.5,-2.64276426194864,0.0156858787393328,0.6424003619712
"Nos1",5204,-0.00251778811795647,166.6,-2.5718571412871,0.0164366699617976,0.698375714304623
"St5",5791,-0.00245122062721873,168.6,-2.50195523168196,0.0151177428202343,0.739329755482721
"Grhl1",1914,-0.00245464837909946,169,-2.50752708550224,0.0149813825978325,0.725875494455808
"Fstl4",7322,-0.00244963529267908,169.6,-2.4990544674294,0.0151946851730601,0.735459960261474
"Atp6v0e2",8164,-0.00251253008542576,169.9,-2.56824677708406,0.0161328160592077,0.689670539246134
"Grid1",8600,0.00245219279865289,170,2.77370961638196,0.0174751067465827,0.517411944260537
"Itpka",4317,-0.0024419037437637,170.3,-2.49170519414151,0.0148342333882973,0.739309560439284
"Mmp17",5240,-0.00251083006181963,171.2,-2.56411225142223,0.0163608569157396,0.657952569337281
"Lypd6",10004,-0.00241083598300913,174.7,-2.45905480204411,0.0155378186170409,0.771714358520521
"Ier3",427,-0.00245512390805563,175.3,-2.50812763870773,0.0160061562255404,0.745494392367538
"Hopx",10979,0.00232583809527739,175.3,2.64228136394498,0.017987538809449,0.591040998730713
"Phgdh",15945,-0.00241041928694728,176.1,-2.45832171934234,0.0156452276600826,0.772577087456496
"Dnm3os",12334,-0.00240760484733382,178.3,-2.45596044694365,0.0166642146061508,0.784871983391487
"Serpini1",4536,-0.00245013600346952,179.6,-2.50208780251501,0.0166842612906407,0.740701365946137
"Gm9962",10531,-0.00242944374430869,183.1,-2.47635285715966,0.0179456736130783,0.772943499504945
"Hcrtr2",6345,-0.00241656218265614,184.3,-2.4635027888712,0.0178129382143504,0.765395855198306
"Igtp",12408,0.00229807761401056,184.3,2.61246528816754,0.0194683858036608,0.616526506070507
"Elavl2",846,0.00222983803405393,184.4,2.5377034619233,0.0194568215666444,0.683777194341092
"Atp6v0d1",1004,0.00224789225192749,184.9,2.56049033624364,0.0203061251039526,0.679354066598574
"Ndst4",4584,0.00237259215497886,184.9,2.69659062268461,0.0193233566398139,0.548322612007112
"Gamt",1677,-0.0024341032099439,185.1,-2.48423798877796,0.0176635964275998,0.744744388633831
"Jak2",3367,-0.00240077278338402,188.3,-2.44871647656746,0.0180650831614449,0.784256236455748
"Grik2",10645,0.00216208649188538,188.9,2.46449966488468,0.0203676537490454,0.719523638841326
"Qpct",3101,-0.00247334901830726,189.6,-2.52779295566597,0.0177844696329,0.696294311801676
"Ptchd1",8694,0.00231333879623977,190,2.62917258537504,0.0204350552641752,0.592800147168487
"Adra1b",10012,0.00222069929109742,190.5,2.52928343453926,0.0208835803257997,0.662460107526637
